SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;Profit;Loss deals;Profit deals;Maximum loss in profit deals
6.0;9.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;-22.807129263537355;585.0;1057.0;-15.679145534511141
6.0;9.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;21.768132600107315;507.0;967.0;-15.679145534511141
6.0;9.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;144.89728891506155;398.0;662.0;-8.426048208568092
6.0;9.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;97.00387694107128;389.0;655.0;-8.086601908529232
6.0;9.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;64.04286660730986;579.0;1052.0;-9.494885361552024
6.0;9.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;5.500118941867093;598.0;1080.0;-15.679145534511141
6.0;9.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;126.4022885139807;412.0;734.0;-8.683774250440914
6.0;9.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;84.21237757871849;393.0;600.0;-8.39601300273108
6.0;9.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;34.80455879012506;377.0;571.0;-15.679145534511141
6.0;9.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;18.135307448808444;647.0;1181.0;-11.28268877934745
6.0;9.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;112.91496064254706;546.0;859.0;-8.683774250440914
6.0;9.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;127.07879354677448;423.0;707.0;-8.683774250440914
6.0;9.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;95.10865877754136;340.0;527.0;-8.39601300273108
6.0;9.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;132.25821229121078;313.0;512.0;-15.679145534511141
6.0;12.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;131.2199627436247;477.0;846.0;-8.39601300273108
6.0;12.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;125.73782176758647;558.0;979.0;-9.494885361552024
6.0;12.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;6.532457690733818;569.0;997.0;-15.679145534511141
6.0;12.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;-17.130283634845952;545.0;948.0;-15.679145534511141
6.0;12.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;112.37966795114725;487.0;848.0;-8.39601300273108
6.0;12.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;131.074980455318;463.0;756.0;-9.219981357512069
6.0;12.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;63.00825337461252;592.0;1100.0;-9.494885361552024
6.0;12.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;-20.405916877210597;599.0;1057.0;-15.679145534511141
6.0;12.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;81.49038676699146;510.0;880.0;-8.683774250440914
6.0;12.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;125.60557364796773;446.0;771.0;-8.39601300273108
6.0;12.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;106.18675202203289;422.0;695.0;-15.679145534511141
6.0;12.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;55.706976593541505;596.0;1047.0;-9.494885361552024
6.0;12.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;66.17939483642753;580.0;915.0;-8.683774250440914
6.0;12.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;97.66942182877452;465.0;791.0;-8.683774250440914
6.0;12.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;114.09807817598772;393.0;666.0;-8.39601300273108
6.0;12.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;89.57307088768525;386.0;605.0;-15.679145534511141
6.0;15.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;93.97300980769762;512.0;912.0;-8.39601300273108
6.0;15.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;100.50894156007915;520.0;936.0;-9.494885361552024
6.0;15.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;0.12373738904606135;522.0;985.0;-15.679145534511141
6.0;15.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;19.988002835353086;492.0;907.0;-15.679145534511141
6.0;15.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;51.42790152144076;558.0;852.0;-8.39601300273108
6.0;15.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;94.28409504652107;516.0;888.0;-8.39601300273108
6.0;15.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;44.464159364866845;566.0;988.0;-9.494885361552024
6.0;15.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;18.318797765232322;587.0;1009.0;-15.679145534511141
6.0;15.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;24.146003655049647;576.0;902.0;-8.57760141093475
6.0;15.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;85.94484403170357;506.0;868.0;-8.39601300273108
6.0;15.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;66.7178143781982;499.0;804.0;-15.679145534511141
6.0;15.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;55.01605791740118;604.0;1098.0;-9.494885361552024
6.0;15.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;56.059857290914906;623.0;971.0;-8.57760141093475
6.0;15.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;31.54136540172578;522.0;849.0;-8.57760141093475
6.0;15.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;80.04779977307967;467.0;713.0;-8.39601300273108
6.0;15.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;103.82176832700631;449.0;740.0;-15.679145534511141
6.0;18.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;66.6300159680865;568.0;979.0;-8.39601300273108
